title,distance,id_x,address.locality,address.postal-code,address.street-address,location.latitude_x,location.longitude_x,key,mercator_x,id_y,name,address,dock_bikes,free_bases,location.longitude_y,location.latitude_y,mercator_y,point_of_interest_google_maps,BiciMad_google_maps,url_google_maps
Colegio Público La Latina,4363.44476272609,5210,MADRID,28024,CALLE MAQUEDA 130,40.388887867589375,-3.7620245761086015,1,POINT (4496070.431126674 -419087.8969448041),232,Caramuel,Calle Caramuel nº 51,5,18,-3.728533714316331,40.40913630273305,POINT (4498324.476616229 -415351.7319152079),Colegio+Público+La+Latina,Caramuel,https://www.google.com/maps/dir/Colegio+Público+La+Latina/Bicimad+Caramuel
Colegio Público La Rioja,1386.8348116044997,5294,MADRID,28038,CALLE LEON FELIPE 3,40.388148628884075,-3.637009550808539,1,POINT (4495988.139450425 -405142.2246837846),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+La+Rioja,Pavones,https://www.google.com/maps/dir/Colegio+Público+La+Rioja/Bicimad+Pavones
Colegio Público Legado Crespo,121.57465038565786,5211,MADRID,28005,PASEO ACACIAS 2,40.404805864280796,-3.7039161461158803,1,POINT (4497842.414412812 -412605.5423357426),51,Embajadores 1,Glorieta de Embajadores nº 6,15,1,-3.7028265,40.4047851,POINT (4497840.102943647 -412483.9896610428),Colegio+Público+Legado+Crespo,Embajadores+1,https://www.google.com/maps/dir/Colegio+Público+Legado+Crespo/Bicimad+Embajadores+1
Colegio Público Leopoldo Alas,350.7970904311866,5212,MADRID,28017,CALLE PEDREZUELA 18,40.42824645764569,-3.6534325307123314,1,POINT (4500451.809330084 -406974.1286488672),242,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,7,17,-3.651034981803642,40.426207143200884,POINT (4500224.793884521 -406706.6915793895),Colegio+Público+Leopoldo+Alas,Marqués+de+Corbera+52,https://www.google.com/maps/dir/Colegio+Público+Leopoldo+Alas/Bicimad+Marqués+de+Corbera+52
Colegio Público Leopoldo Calvo Sotelo,2644.234275542206,4974266,MADRID,28050,CALLE CASTIELLO DE JACA 2,40.50083316755261,-3.675143321637599,1,POINT (4508532.124915281 -409395.9138378283),257,Manuel Caldeiro,Paseo de la Castellana nº 298,9,15,-3.68532,40.47938,POINT (4506143.969227422 -410531.1174823334),Colegio+Público+Leopoldo+Calvo+Sotelo,Manuel+Caldeiro,https://www.google.com/maps/dir/Colegio+Público+Leopoldo+Calvo+Sotelo/Bicimad+Manuel+Caldeiro
Colegio Público Lepanto,1953.2797897808086,5213,MADRID,28035,CALLE VALDERREY 9,40.46843902268448,-3.7210473028721722,1,POINT (4504926.025203878 -414516.5842415738),247,Francos Rodríguez,Calle Francos Rodríguez nº 62,8,15,-3.708002730875242,40.45673408797698,POINT (4503623.037832471 -413061.4121393402),Colegio+Público+Lepanto,Francos+Rodríguez,https://www.google.com/maps/dir/Colegio+Público+Lepanto/Bicimad+Francos+Rodríguez
Colegio Público Lope de Vega,845.2945381922733,5214,MADRID,28019,CALLE INGLATERRA 8,40.39460546257796,-3.7232402248952865,1,POINT (4496706.910889365 -414761.2152283728),220,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4,19,-3.716591,40.398247,POINT (4497112.284980891 -414019.4641230708),Colegio+Público+Lope+de+Vega,Marqués+de+Vadillo,https://www.google.com/maps/dir/Colegio+Público+Lope+de+Vega/Bicimad+Marqués+de+Vadillo
Colegio Público Lorenzo Luzuriaga,1591.7634377225793,5215,MADRID,28034,CALLE VALENCIA DE DON JUAN 13,40.48664862656937,-3.7016083209102453,1,POINT (4506953.109035891 -412348.0989975715),225,Pedro Rico,Calle Pedro Rico nº 4,2,22,-3.688463,40.481086,POINT (4506333.880278716 -410881.7202647889),Colegio+Público+Lorenzo+Luzuriaga,Pedro+Rico,https://www.google.com/maps/dir/Colegio+Público+Lorenzo+Luzuriaga/Bicimad+Pedro+Rico
Colegio Público Los Almendros,1082.7144193100312,64457,MADRID,28032,CALLE LADERA DE LOS ALMENDROS 45,40.39629114218003,-3.625774203881319,1,POINT (4496894.559884309 -403888.9953192372),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Los+Almendros,Pavones,https://www.google.com/maps/dir/Colegio+Público+Los+Almendros/Bicimad+Pavones
Colegio Público Los Rosales,4402.562118723822,5296,MADRID,28021,AVENIDA LOS ROSALES 131,40.35175390495651,-3.677834634453844,1,POINT (4491936.697315248 -409696.1272448895),243,Embajadores 191,Calle Sodio nº 1B,8,16,-3.6903589643353483,40.389258643579105,POINT (4496111.70572105 -411093.2163689993),Colegio+Público+Los+Rosales,Embajadores+191,https://www.google.com/maps/dir/Colegio+Público+Los+Rosales/Bicimad+Embajadores+191
Colegio Público Loyola de Palacio,5983.498610684637,4974277,MADRID,28051,CALLE EMBALSE DE NAVACERRADA 60,40.36064250120841,-3.5984510871197415,1,POINT (4492926.171323876 -400841.3454813413),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Loyola+de+Palacio,Pavones,https://www.google.com/maps/dir/Colegio+Público+Loyola+de+Palacio/Bicimad+Pavones
Colegio Público Luis Bello,184.9293595718927,5216,MADRID,28002,CALLE LUIS CABRERA 66,40.44368060148635,-3.6735452726272593,1,POINT (4502169.930363256 -409217.6534061314),204,Prosperidad,Calle Suero de Quiñones nº 2,6,15,-3.6751388,40.4441388,POINT (4502220.936788478 -409395.4094541799),Colegio+Público+Luis+Bello,Prosperidad,https://www.google.com/maps/dir/Colegio+Público+Luis+Bello/Bicimad+Prosperidad
Colegio Público Luis Cernuda,2039.0570646904598,5217,MADRID,28043,CALLE CARRIL DEL CONDE 64,40.46131540437997,-3.6539887453598747,1,POINT (4504133.027641614 -407036.1722883468),238,Carlota O’Neill,Calle Carlota O'Neill nº 32,14,10,-3.648958444298144,40.44370542379883,POINT (4502172.693570442 -406475.0626355441),Colegio+Público+Luis+Cernuda,Carlota+O’Neill,https://www.google.com/maps/dir/Colegio+Público+Luis+Cernuda/Bicimad+Carlota+O’Neill
Colegio Público Luis de Góngora,2113.170504388948,5218,MADRID,28029,CALLE SARRIA 49,40.47459730345878,-3.714412445984112,1,POINT (4505611.561883835 -413776.4377876664),247,Francos Rodríguez,Calle Francos Rodríguez nº 62,8,15,-3.708002730875242,40.45673408797698,POINT (4503623.037832471 -413061.4121393402),Colegio+Público+Luis+de+Góngora,Francos+Rodríguez,https://www.google.com/maps/dir/Colegio+Público+Luis+de+Góngora/Bicimad+Francos+Rodríguez
Colegio Público Madrid Sur,2254.6222156690224,42017,MADRID,28018,CALLE PUERTO DE BALBARAN 133,40.37657755418934,-3.6553480036748622,1,POINT (4494700.053307476 -407187.7925724515),236,Concordia,Calle Arroyo del Olivar nº 6,2,21,-3.6659362429356372,40.39382977920336,POINT (4496620.562211088 -408368.8797354235),Colegio+Público+Madrid+Sur,Concordia,https://www.google.com/maps/dir/Colegio+Público+Madrid+Sur/Bicimad+Concordia
Colegio Público Maestro Padilla,5244.204657720235,5792191,MADRID,28054,AVENIDA PESETA 112,40.3626409159049,-3.747372159760245,1,POINT (4493148.633830283 -417453.2888198681),220,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4,19,-3.716591,40.398247,POINT (4497112.284980891 -414019.4641230708),Colegio+Público+Maestro+Padilla,Marqués+de+Vadillo,https://www.google.com/maps/dir/Colegio+Público+Maestro+Padilla/Bicimad+Marqués+de+Vadillo
Colegio Público Manuel Bartolomé Cossío,5725.863329473751,5221,MADRID,28044,CALLE JOSE DE CADALSO 19,40.38135498597348,-3.7717294965452615,1,POINT (4495231.874580987 -420170.5827657145),232,Caramuel,Calle Caramuel nº 51,5,18,-3.728533714316331,40.40913630273305,POINT (4498324.476616229 -415351.7319152079),Colegio+Público+Manuel+Bartolomé+Cossío,Caramuel,https://www.google.com/maps/dir/Colegio+Público+Manuel+Bartolomé+Cossío/Bicimad+Caramuel
Colegio Público Manuel Núñez de Arenas,2120.206685099238,5223,MADRID,28053,CALLE MARTOS 120,40.37525283072323,-3.661743346960403,1,POINT (4494552.585765787 -407901.1727660273),236,Concordia,Calle Arroyo del Olivar nº 6,2,21,-3.6659362429356372,40.39382977920336,POINT (4496620.562211088 -408368.8797354235),Colegio+Público+Manuel+Núñez+de+Arenas,Concordia,https://www.google.com/maps/dir/Colegio+Público+Manuel+Núñez+de+Arenas/Bicimad+Concordia
